accession_new	accession_old	mag_id	source_fasta	needs_signalp	whole_proteome_role	source_sample_id	final_confidence
CU_CUST_000000014.1	CU_FDZ064-GR0-2(OES00301674)_bin.85	FDZ064-GR0-2(OES00301674)_bin.85	FDZ064-GR0-2(OES00301674)_bin.85.fa	True	False	FDZ064-GR0-2(OES00301674)	low
CU_CUST_000000015.1	CU_FDZ069-BaYG_BaYR6-8(OES00301743)_bin.31	FDZ069-BaYG_BaYR6-8(OES00301743)_bin.31	FDZ069-BaYG_BaYR6-8(OES00301743)_bin.31.fa	True	False	FDZ069-BaYG_BaYR6-8(OES00301743)	low
CU_CUST_000000016.1	CU_FDZ069-R38-10(OES00301778)_bin.85	FDZ069-R38-10(OES00301778)_bin.85	FDZ069-R38-10(OES00301778)_bin.85.fa	True	False	FDZ069-R38-10(OES00301778)	low
CU_CUST_000000017.1	CU_FDZ070-GBkY26-28(OES00301856)_bin.49	FDZ070-GBkY26-28(OES00301856)_bin.49	FDZ070-GBkY26-28(OES00301856)_bin.49.fa	True	False	FDZ070-GBkY26-28(OES00301856)	low
CU_CUST_000000018.1	CU_FDZ070-RYBk16-18(OES00301867)_bin.42	FDZ070-RYBk16-18(OES00301867)_bin.42	FDZ070-RYBk16-18(OES00301867)_bin.42.fa	True	False	FDZ070-RYBk16-18(OES00301867)	low
CU_CUST_000000019.1	CU_FDZ070-RYBk6-8(OES00301874)_bin.18	FDZ070-RYBk6-8(OES00301874)_bin.18	FDZ070-RYBk6-8(OES00301874)_bin.18.fa	True	False	FDZ070-RYBk6-8(OES00301874)	medium
CU_CUST_000000020.1	CU_FDZ071-BaYG6-8(OES00301922)_bin.53	FDZ071-BaYG6-8(OES00301922)_bin.53	FDZ071-BaYG6-8(OES00301922)_bin.53.fa	True	False	FDZ071-BaYG6-8(OES00301922)	medium
CU_CUST_000000021.1	CU_FDZ072-RRR2-4(OES00302062)_bin.59	FDZ072-RRR2-4(OES00302062)_bin.59	FDZ072-RRR2-4(OES00302062)_bin.59.fa	True	False	FDZ072-RRR2-4(OES00302062)	low
CU_CUST_000000022.1	CU_FDZ074-WuWW20-22(OES00302198)_bin.43	FDZ074-WuWW20-22(OES00302198)_bin.43	FDZ074-WuWW20-22(OES00302198)_bin.43.fa	True	False	FDZ074-WuWW20-22(OES00302198)	medium
CU_CUST_000000023.1	CU_FDZ076-BkWG22-24(OES00302230)_bin.47	FDZ076-BkWG22-24(OES00302230)_bin.47	FDZ076-BkWG22-24(OES00302230)_bin.47.fa	True	False	FDZ076-BkWG22-24(OES00302230)	medium
CU_CUST_000000024.1	CU_FDZ077-WuWW18-20(OES00302342)_bin.14	FDZ077-WuWW18-20(OES00302342)_bin.14	FDZ077-WuWW18-20(OES00302342)_bin.14.fa	True	False	FDZ077-WuWW18-20(OES00302342)	low
CU_CUST_000000025.1	CU_FDZ081-Wu0-2(OES00302393)_bin.13	FDZ081-Wu0-2(OES00302393)_bin.13	FDZ081-Wu0-2(OES00302393)_bin.13.fa	True	False	FDZ081-Wu0-2(OES00302393)	low
CU_CUST_000000026.1	CU_FDZ081-Wu0-2(OES00302393)_bin.5	FDZ081-Wu0-2(OES00302393)_bin.5	FDZ081-Wu0-2(OES00302393)_bin.5.fa	True	False	FDZ081-Wu0-2(OES00302393)	low
CU_CUST_000000027.1	CU_FDZ081-Wu0-2(OES00302393)_bin.83	FDZ081-Wu0-2(OES00302393)_bin.83	FDZ081-Wu0-2(OES00302393)_bin.83.fa	True	False	FDZ081-Wu0-2(OES00302393)	low
CU_CUST_000000028.1	CU_FDZ081-Wu26-28(OES00302399)_bin.115	FDZ081-Wu26-28(OES00302399)_bin.115	FDZ081-Wu26-28(OES00302399)_bin.115.fa	True	False	FDZ081-Wu26-28(OES00302399)	low
CU_CUST_000000029.1	CU_RS_11(SAMN18200499)_bin.3	RS_11(SAMN18200499)_bin.3	RS_11(SAMN18200499)_bin.3.fa	True	False	RS_11(SAMN18200499)	medium
CU_CUST_000000030.1	CU_RS_11(SAMN18200499)_bin.65	RS_11(SAMN18200499)_bin.65	RS_11(SAMN18200499)_bin.65.fa	True	False	RS_11(SAMN18200499)	medium
CU_CUST_000000031.1	CU_RS_8(SAMN18200496)_bin.14	RS_8(SAMN18200496)_bin.14	RS_8(SAMN18200496)_bin.14.fa	True	False	RS_8(SAMN18200496)	none
CU_CUST_000000032.1	CU_SAMD00080627_bin.25	SAMD00080627_bin.25	SAMD00080627_bin.25.fa	True	False	SAMD00080627	high
CU_CUST_000000033.1	CU_SAMEA101254168_bin.40	SAMEA101254168_bin.40	SAMEA101254168_bin.40.fa	True	False	SAMEA101254168	high
CU_CUST_000000034.1	CU_SAMEA101254168_bin.46	SAMEA101254168_bin.46	SAMEA101254168_bin.46.fa	True	False	SAMEA101254168	high
CU_CUST_000000035.1	CU_SAMEA101257168_bin.3	SAMEA101257168_bin.3	SAMEA101257168_bin.3.fa	True	False	SAMEA101257168	high
CU_CUST_000000036.1	CU_SAMEA3143265_bin.16	SAMEA3143265_bin.16	SAMEA3143265_bin.16.fa	True	False	SAMEA3143265	high
CU_CUST_000000037.1	CU_SAMEA3143271_bin.70	SAMEA3143271_bin.70	SAMEA3143271_bin.70.fa	True	False	SAMEA3143271	high
CU_CUST_000000038.1	CU_SAMEA3143271_bin.77	SAMEA3143271_bin.77	SAMEA3143271_bin.77.fa	True	False	SAMEA3143271	high
CU_CUST_000000039.1	CU_SAMEA3143271_bin.88	SAMEA3143271_bin.88	SAMEA3143271_bin.88.fa	True	False	SAMEA3143271	high
CU_CUST_000000040.1	CU_SAMEA3143273_bin.30	SAMEA3143273_bin.30	SAMEA3143273_bin.30.fa	True	False	SAMEA3143273	high
CU_CUST_000000041.1	CU_SAMEA4470836_bin.30	SAMEA4470836_bin.30	SAMEA4470836_bin.30.fa	True	False	SAMEA4470836	medium
CU_CUST_000000042.1	CU_SAMEA4470836_bin.47	SAMEA4470836_bin.47	SAMEA4470836_bin.47.fa	True	False	SAMEA4470836	high
CU_CUST_000000043.1	CU_SAMEA4470836_bin.48	SAMEA4470836_bin.48	SAMEA4470836_bin.48.fa	True	False	SAMEA4470836	high
CU_CUST_000000044.1	CU_SAMEA4470836_bin.53	SAMEA4470836_bin.53	SAMEA4470836_bin.53.fa	True	False	SAMEA4470836	high
CU_CUST_000000045.1	CU_SAMEA4470836_bin.75	SAMEA4470836_bin.75	SAMEA4470836_bin.75.fa	True	False	SAMEA4470836	high
CU_CUST_000000046.1	CU_SAMEA4470836_bin.90	SAMEA4470836_bin.90	SAMEA4470836_bin.90.fa	True	False	SAMEA4470836	high
CU_CUST_000000047.1	CU_SAMEA4470841_bin.36	SAMEA4470841_bin.36	SAMEA4470841_bin.36.fa	True	False	SAMEA4470841	high
CU_CUST_000000048.1	CU_SAMEA4470842_bin.11	SAMEA4470842_bin.11	SAMEA4470842_bin.11.fa	True	False	SAMEA4470842	high
CU_CUST_000000049.1	CU_SAMEA4470843_bin.7	SAMEA4470843_bin.7	SAMEA4470843_bin.7.fa	True	False	SAMEA4470843	high
CU_CUST_000000050.1	CU_SAMEA4470844_bin.1	SAMEA4470844_bin.1	SAMEA4470844_bin.1.fa	True	False	SAMEA4470844	high
CU_CUST_000000051.1	CU_SAMEA4470844_bin.7	SAMEA4470844_bin.7	SAMEA4470844_bin.7.fa	True	False	SAMEA4470844	high
CU_CUST_000000052.1	CU_SAMEA4470846_bin.3	SAMEA4470846_bin.3	SAMEA4470846_bin.3.fa	True	False	SAMEA4470846	high
CU_CUST_000000053.1	CU_SAMEA4470847_bin.9	SAMEA4470847_bin.9	SAMEA4470847_bin.9.fa	True	False	SAMEA4470847	high
CU_CUST_000000054.1	CU_SAMEA4470848_bin.1	SAMEA4470848_bin.1	SAMEA4470848_bin.1.fa	True	False	SAMEA4470848	high
