sp_norm	ogt_tempura	tmin_measured	ogt_madin	ogt_toki	ogt_ogtfinder	ogt_ogtfinder_sources	ogt_n_sources	ogt_measured	ogt_spread
actinoplanes auranticolor			27.0		28.0	BacDive	2	27.5	1.0
actinoplanes awajinensis			26.0				1	26.0	0.0
actinoplanes brasiliensis					28.0	BacDive	1	28.0	0.0
actinoplanes campanulatus					28.0	BacDive	1	28.0	0.0
actinoplanes consettensis			27.0		28.0	BacDive	2	27.5	1.0
actinoplanes couchii					27.5	BacDive	1	27.5	0.0
actinoplanes cyaneus					28.0	BacDive	1	28.0	0.0
actinoplanes deccanensis			27.0		28.0	BacDive	2	27.5	1.0
actinoplanes derwentensis					28.0	BacDive	1	28.0	0.0
actinoplanes digitatis			27.0				1	27.0	0.0
actinoplanes durhamensis			27.0		28.0	BacDive	2	27.5	1.0
actinoplanes ferrugineus			27.0		28.0	BacDive	2	27.5	1.0
actinoplanes garbadinensis			27.0				1	27.0	0.0
actinoplanes globisporus			27.0	27.333			2	27.1665	0.3329999999999984
actinoplanes humidus			27.0		28.0	BacDive	2	27.5	1.0
actinoplanes ianthinogenes	32.5	15.0	27.0	32.5			3	30.666666666666668	5.5
actinoplanes italicus			27.0		28.0	BacDive	2	27.5	1.0
actinoplanes lichenis	27.0	17.0					1	27.0	0.0
actinoplanes liguriensis			26.5		28.0	BacDive	2	27.25	1.5
actinoplanes lobatus					28.0	BacDive	1	28.0	0.0
actinoplanes luteus	27.5	20.0					1	27.5	0.0
actinoplanes missouriensis			27.0		28.0	BacDive	2	27.5	1.0
actinoplanes nipponensis			27.0				1	27.0	0.0
actinoplanes palleronii					28.0	BacDive	1	28.0	0.0
actinoplanes philippinensis			27.0				1	27.0	0.0
actinoplanes rectilineatus	25.5	10.0	27.0	25.5	28.0	BacDive	4	26.5	2.5
actinoplanes regularis			27.0		28.0	BacDive	2	27.5	1.0
actinoplanes siamensis	27.5	25.0					1	27.5	0.0
actinoplanes sichuanensis					28.0	BacDive	1	28.0	0.0
actinoplanes sp.			26.5				1	26.5	0.0
actinoplanes sp001553785				29.0			1	29.0	0.0
actinoplanes subglobosus	27.5	20.0					1	27.5	0.0
actinoplanes teichomyceticus					28.0	BacDive	1	28.0	0.0
actinoplanes tereljensis					24.0	BacDive	1	24.0	0.0
actinoplanes toevensis					27.5	BacDive	1	27.5	0.0
actinoplanes utahensis			27.0				1	27.0	0.0
actinoplanes xinjiangensis					28.0	BacDive	1	28.0	0.0
actinoplanes yunnanensis			26.0				1	26.0	0.0
actinopolymorpha singaporensis			29.0				1	29.0	0.0
actinopolyspora lacussalsi	35.0	25.0					1	35.0	0.0
actinopolyspora mortivallis	45.0	10.0	41.0		45.0	ThermoBase	3	43.666666666666664	4.0
actinopolyspora sp.			36.0				1	36.0	0.0
actinospica acidiphila					28.0	aciDB	1	28.0	0.0
actinospica robiniae				27.0			1	27.0	0.0
actinosynnema mirum			27.0	20.0	29.0	Lyubetsky et al., 2020	3	25.333333333333332	9.0
actinotalea bogoriensis				33.5			1	33.5	0.0
actinotalea fermentans					28.0	BacDive	1	28.0	0.0
actinotalea solisilvae	29.0	10.0		29.0			2	29.0	0.0
acuticoccus kandeliae	27.5	20.0					1	27.5	0.0
acuticoccus yangtzensis	35.0	15.0		35.0			2	35.0	0.0
adhaeribacter aquaticus					30.0	BacDive	1	30.0	0.0
adlercreutzia caecimuris					37.0	BacDive	1	37.0	0.0
adlercreutzia mucosicola				35.0	35.0	BacDive	2	35.0	0.0
advenella alkanexedens	32.5	4.0		32.5			2	32.5	0.0
advenella incenata			35.0				1	35.0	0.0
advenella kashmirensis					26.0	BacDive	1	26.0	0.0
advenella mimigardefordensis				33.5			1	33.5	0.0
aequorivita antarctica	20.0	-2.0	20.0	20.0			3	20.0	0.0
aequorivita capsosiphonis					25.0	BacDive	1	25.0	0.0
aequorivita crocea	20.0	-2.0	20.0				2	20.0	0.0
aequorivita lipolytica	20.0	-2.0	20.0	20.0			3	20.0	0.0
aequorivita sp.			20.0				1	20.0	0.0
aequorivita sublithincola	20.0	-2.0	11.0	12.0	20.0	Lyubetsky et al., 2020	4	15.75	9.0
aeribacillus composti	60.0	50.0		60.0	60.0	ThermoBase	3	60.0	0.0
aeribacillus pallidus			55.0				1	55.0	0.0
aeriscardovia aeriphila					37.0	BacDive	1	37.0	0.0
aerococcus christensenii			34.0				1	34.0	0.0
aerococcus sanguinicola			35.0				1	35.0	0.0
aerococcus suis			34.0				1	34.0	0.0
aerococcus urinae			34.0				1	34.0	0.0
aerococcus viridans			35.0	32.3333333333333			2	33.66666666666665	2.6666666666667
aeromicrobium camelliae	33.5	15.0		33.5			2	33.5	0.0
aeromicrobium erythreum	35.0	21.0	33.0	35.0			3	34.333333333333336	2.0
aeromicrobium fastidiosum			27.0				1	27.0	0.0
aeromicrobium flavum			27.0				1	27.0	0.0
aeromicrobium marinum			26.0				1	26.0	0.0
aeromicrobium massiliense	31.0	25.0		31.0			2	31.0	0.0
aeromicrobium ponti	33.5	4.0					1	33.5	0.0
aeromicrobium sp.			27.0				1	27.0	0.0
aeromicrobium tamlense			29.0				1	29.0	0.0
aeromonas australiensis			29.0				1	29.0	0.0
aeromonas bivalvium				33.5			1	33.5	0.0
aeromonas caviae			30.5	29.39583333333335			2	29.947916666666675	1.10416666666665
aeromonas dhakensis				33.5	33.5	BacDive	2	33.5	0.0
aeromonas diversa			35.0				1	35.0	0.0
aeromonas encheleia			29.0				1	29.0	0.0
aeromonas enteropelogenes			32.0	32.8			2	32.4	0.7999999999999972
aeromonas fluvialis			29.0		30.0	BacDive	2	29.5	1.0
aeromonas hydrophila			32.0	28.05	29.5	Lyubetsky et al., 2020	3	29.849999999999998	3.9499999999999993
aeromonas jandaei			34.0				1	34.0	0.0
